,Feature,mean_score
1021,max_financialinstitution_382M_a55475b1,186.30488127379797
746,max_housetype_905L_OWNED,185.6495686853582
604,max_credacc_status_367L_nan,182.4121879636112
154,min_currdebt_94A,181.70056823207736
695,max_credacc_cards_status_52L_nan,178.69922192836722
335,min_overdueamountmaxdateyear_994T,178.17224668652733
516,lastcancelreason_561M_P64_121_167,176.55447204570726
773,max_relationshiptoclient_415T_SPOUSE,176.47073662082786
784,max_relationshiptoclient_642T_SPOUSE,176.47073662082786
564,lastrejectreasonclient_4145040M_P64_121_167,173.913814990408
297,min_lastupdate_388D,169.5856399063149
749,max_housetype_905L_nan,169.35561152446257
258,min_processingdate_168D,169.35261725247955
336,mean_overdueamountmaxdateyear_994T,164.73242793725305
896,max_contractst_964M_7241344e,160.83509087129426
275,min_dateofrealrepmt_138D,160.09202773370214
296,mean_lastupdate_388D,157.0338645021725
764,max_relationshiptoclient_415T_CHILD,155.4714622940267
775,max_relationshiptoclient_642T_CHILD,155.4714622940267
218,max_persontype_1072L,155.05350431655077
223,max_persontype_792L,155.05350431655077
253,min_pmtamount_36A,153.73630744513
621,max_familystate_726L_nan,152.69700458780753
432,lastapprcommoditycat_1041M_P159_130_59,152.36357660199593
389,min_pmts_year_1139T,149.39905196699291
101,pmtaverage_4527227A,149.26639863505216
1206,max_purposeofcred_874M_96a8fdfe,148.44729505326134
2,annuity_780A,147.55654325477246
674,max_status_219L_N,144.46103406905053
274,mean_dateofrealrepmt_138D,143.55968495458674
574,lastst_736L_L,141.7186854292083
948,max_contractst_964M_c400401f,137.98251060338322
667,max_rejectreasonclient_4145042M_a55475b1,137.19621415098237
116,sum_annuity_853A,137.1026991879582
372,mean_pmts_dpd_1073P,136.9847010089984
603,max_credacc_status_367L_PO,136.5323422234477
577,lastst_736L_Q,136.12986011383333
575,lastst_736L_N,135.24421400253667
504,lastcancelreason_561M_P30_86_84,133.9435610044217
135,min_credacc_credlmt_575A,133.77651412914645
35,lastapprdate_640D,127.59324437066502
145,mean_credacc_minhisbal_90A,126.98063678235762
642,max_postype_4733339M_P46_145_78,125.36325345370182
266,min_dateofcredend_353D,124.34573809142299
706,max_education_927M_a55475b1,123.8594763917323
579,lastst_736L_S,121.78067780650903
658,max_rejectreason_755M_a55475b1,120.37276432895584
167,mean_dtlastpmt_581D,119.91592830724505
757,max_incometype_1044T_SALARIED_GOVT,119.2020010745116
144,max_credacc_minhisbal_90A,118.46120352146963
10,avgoutstandbalancel6m_4187114A,118.17420803730863
117,max_approvaldate_319D,118.10777298240785
40,maxannuity_159A,118.01111575854003
143,min_credacc_minhisbal_90A,117.52475958799963
248,sum_amount_4917619A,116.31030132072405
13,cntincpaycont9m_3716944L,116.25022058655341
269,min_dateofcredstart_181D,113.75555250273207
334,max_overdueamountmaxdateyear_2T,112.76325293854377
765,max_relationshiptoclient_415T_COLLEAGUE,112.40934293389002
776,max_relationshiptoclient_642T_COLLEAGUE,112.40934293389002
345,mean_refreshdate_3813885D,111.88258800913285
788,max_role_1084L_CL,111.39648433634758
70,numinstpaidlastcontr_4325080L,109.7453322274226
786,max_remitter_829L_False,108.19155250217753
790,max_role_1084L_PE,108.19155250217753
774,max_relationshiptoclient_415T_nan,108.19155250210078
785,max_relationshiptoclient_642T_nan,108.19155250210078
787,max_remitter_829L_nan,108.19155250210078
100,pmtaverage_3A,106.7793364674722
559,lastrejectreasonclient_4145040M_P30_86_84,106.40974602674083
591,education_1103M_a55475b1,103.41615052588864
570,lastst_736L_A,103.40567379985566
8,avglnamtstart24m_4525187A,103.26828630851071
286,mean_dpdmax_139P,102.5202417309122
323,mean_numberofoverdueinstlmax_1039L,101.30243615124283
243,min_recorddate_4527225D,100.74627579905581
242,mean_recorddate_4527225D,100.74627579905581
241,max_recorddate_4527225D,100.74627579905581
113,min_annuity_853A,99.31140656702746
555,lastrejectreasonclient_4145040M_P129_162_80,99.0384114321343
472,lastcancelreason_561M_P129_162_80,99.00407183208097
287,max_dpdmax_139P,96.59438292121887
288,sum_dpdmax_139P,96.57428482131299
36,lastdelinqdate_224D,94.70695316803389
219,mean_persontype_1072L,94.02946283017886
1111,max_financialinstitution_591M_a55475b1,94.02067825358193
678,max_status_219L_S,93.0882780441704
395,count_num_group1_cb_a_2,92.37149242197138
396,count_num_group2_cb_a_2,92.37149242197138
451,lastapprcommoditycat_1041M_P52_56_90,91.53508837063539
583,twobodfilling_608L_FO,90.96359253893876
582,twobodfilling_608L_BO,90.86079601803678
325,sum_numberofoverdueinstlmax_1039L,90.59596674958829
28,homephncnt_628L,88.5414070020985
595,requesttype_4525192L_PENSION_6,85.96739938783941
1235,max_subjectroles_name_838M_a55475b1,85.96270947995916
244,count_num_group1_tax_registry_b,85.10728159563632
18,datefirstoffer_1144D,84.66058170282011
324,max_numberofoverdueinstlmax_1039L,84.60384293935573
930,max_contractst_964M_b2f1bf5c,83.5584415163462
322,min_numberofoverdueinstlmax_1039L,83.46012136938042
163,mean_downpmt_134A,83.26632732085383
810,max_empls_economicalst_849M_nan,82.67715790760838
809,max_empls_economicalst_849M_a55475b1,82.34359615655212
196,min_revolvingaccount_394A,81.22732147009393
738,max_familystate_447L_LIVING_WITH_PARTNER,80.65288328127819
104,responsedate_4527233D,79.6939072167445
958,max_contractst_964M_cb5e0ca2,76.34433573004343
178,sum_isbidproduct_390L,75.50060953628932
182,max_mainoccupationinc_437A,75.2141301667649
891,max_contractst_545M_dd67cff0,74.4283137974951
742,max_familystate_447L_nan,74.15443557646522
209,count_familystate_447L,73.81379750495957
272,min_dateofcredstart_739D,71.70343586411265
247,max_amount_4917619A,71.22130120819699
265,mean_dateofcredend_353D,70.87868514432257
285,min_dpdmax_139P,70.29510782354274
198,mean_revolvingaccount_394A,69.86127041128813
39,maininc_215A,69.51993724471885
37,lastrejectcredamount_222A,67.91888663974913
656,max_rejectreason_755M_P94_109_143,66.79550092245493
259,max_processingdate_168D,66.75933063160063
871,max_classificationofcontr_400M_f0a30139,65.14308736029112
409,disbursementtype_67L_SBA,63.86422659417748
359,min_totaldebtoverduevalue_178A,63.75461073891677
413,inittransactioncode_186L_POS,62.99745968794156
249,max_deductiondate_4917603D,62.93814692148944
692,max_credacc_cards_status_52L_INACTIVE,62.517726581011814
618,max_familystate_726L_MARRIED,61.99228346175299
251,min_deductiondate_4917603D,61.952875804748665
645,max_postype_4733339M_a55475b1,61.43811498072954
1067,max_financialinstitution_382M_dcb42d2c,60.88850282297706
257,mean_processingdate_168D,60.8133292997361
92,contractssum_5085716L,60.61273927413814
394,max_pmts_year_507T,59.89699712201117
268,mean_dateofcredstart_181D,59.48128716142841
502,lastcancelreason_561M_P24_27_36,58.69603264758821
3,applicationscnt_867L,58.501415103056495
246,mean_amount_4917619A,57.4814611476861
599,max_credacc_status_367L_CA,54.73169944950733
1224,max_subjectroles_name_541M_a55475b1,53.683682562209306
730,max_empl_industry_691L_REAL_ESTATE,52.794707925368485
793,max_safeguarantyflag_411L_True,52.78378193028409
640,max_postype_4733339M_P177_117_192,52.54517688833768
415,lastapprcommoditycat_1041M_P100_96_175,52.38082346525011
197,max_revolvingaccount_394A,52.297455354820315
177,mean_isbidproduct_390L,52.09792960215188
271,mean_dateofcredstart_739D,52.02086549992063
423,lastapprcommoditycat_1041M_P12_6_178,51.88550738757425
371,min_pmts_dpd_1073P,51.19728249116896
762,max_language1_981M_a55475b1,50.93217971574589
1211,max_purposeofcred_874M_d9ae1a0e,49.62289519675213
374,min_pmts_dpd_303P,49.55808715220204
138,sum_credacc_credlmt_575A,49.23567087420019
868,max_classificationofcontr_400M_ec922b98,48.60734411836911
34,lastapprcredamount_781A,48.426761923669496
715,max_empl_industry_691L_CATERING,47.18041227933148
605,max_credtype_587L_CAL,46.89773110570475
622,max_inittransactioncode_279L_CASH,46.849931242027814
245,min_amount_4917619A,46.76007870059685
513,lastcancelreason_561M_P5_143_178,46.67949944481363
115,mean_annuity_853A,46.442945881536275
709,max_empl_employedtotal_800L_MORE_FIVE,46.24642096294091
1127,max_financialinstitution_591M_c278975a,45.42782921614507
331,max_overdueamountmaxdatemonth_365T,45.02861864166154
162,max_downpmt_134A,44.608504321851406
407,disbursementtype_67L_DD,44.045330903676415
412,inittransactioncode_186L_NDF,43.85878648586616
1036,max_financialinstitution_382M_b619fa46,43.61964543742649
563,lastrejectreasonclient_4145040M_P5_143_178,43.14937434746702
781,max_relationshiptoclient_642T_OTHER_RELATIVE,42.8591690225176
770,max_relationshiptoclient_415T_OTHER_RELATIVE,42.8591690225176
754,max_incometype_1044T_OTHER,41.78816887209564
326,min_overdueamountmaxdatemonth_284T,41.67536559816717
313,sum_numberofcontrsvalue_358L,41.3796034470571
760,max_language1_981M_P10_39_147,40.67066455100714
231,count_num_group1_person2,40.255728683226366
232,count_num_group2_person2,40.255728683226366
617,max_familystate_726L_LIVING_WITH_PARTNER,40.09611007784451
737,max_familystate_447L_DIVORCED,39.63980178927689
123,sum_byoccupationinc_3656910L,39.093413104441524
733,max_empl_industry_691L_TRADE,39.07288429002653
704,max_education_927M_P33_146_175,38.28758792566838
935,max_contractst_964M_b6834721,38.24040578562968
250,mean_deductiondate_4917603D,38.12658572242326
0,WEEK_NUM,37.90901246694043
85,sellerplacescnt_216L,37.354001668332955
330,mean_overdueamountmaxdatemonth_365T,35.90439633995501
328,max_overdueamountmaxdatemonth_284T,35.339596851518735
524,lastcancelreason_561M_P85_114_140,35.01456649708122
119,mean_approvaldate_319D,34.584573206656444
403,credtype_322L_CAL,34.57650541786209
411,inittransactioncode_186L_CASH,34.57650541786209
408,disbursementtype_67L_GBA,34.56731270416812
312,max_numberofcontrsvalue_358L,33.684408232770366
725,max_empl_industry_691L_MANUFACTURING,33.41501029099459
1060,max_financialinstitution_382M_d6a7d943,32.349915782786624
417,lastapprcommoditycat_1041M_P109_133_183,32.128504191197536
1088,max_financialinstitution_382M_edd4a280,32.04455638374996
311,mean_numberofcontrsvalue_358L,31.685118151003635
580,lastst_736L_T,31.28522356803667
705,max_education_927M_P97_36_170,30.883148184111235
690,max_credacc_cards_status_52L_BLOCKED,30.341624004371717
991,max_contractst_964M_f7394eb0,30.24676026067828
161,min_downpmt_134A,29.855282820171613
139,min_credacc_maxhisbal_375A,29.77256614328983
179,mean_isdebitcard_527L,29.6215223087859
211,min_mainoccupationinc_384A,29.086344220305158
210,max_mainoccupationinc_384A,29.086344220305158
620,max_familystate_726L_WIDOWED,28.987843288827737
739,max_familystate_447L_MARRIED,28.944245488522427
401,bankacctype_710L_CA,28.824940233955758
402,bankacctype_710L_nan,28.8249402338458
387,mean_pmts_overdue_1152A,28.69519716812524
1194,min_purposeofcred_874M_60c73645,28.556743592552774
310,min_numberofcontrsvalue_358L,27.882445937216104
337,max_overdueamountmaxdateyear_994T,27.48568421875035
1212,max_purposeofcred_874M_e19fdece,27.324318821100984
616,max_familystate_726L_DIVORCED,27.311117206228
181,min_mainoccupationinc_437A,26.988877352697966
689,max_credacc_cards_status_52L_ACTIVE,26.60371618432396
1122,max_financialinstitution_591M_bbb5839e,26.345954653478163
350,min_residualamount_856A,25.549479346726013
122,mean_byoccupationinc_3656910L,25.276046790411193
23,downpmt_116A,24.924317986301613
31,isbidproduct_1095L,24.519878012086014
663,max_rejectreasonclient_4145042M_P5_143_178,24.108460612605533
11,clientscnt12m_3712952L,24.005026545170896
1050,max_financialinstitution_382M_cc2c2610,23.964083568884536
544,lastrejectreason_759M_P48_22_32,23.95879526466098
141,mean_credacc_maxhisbal_375A,23.952456961029206
305,max_nominalrate_281L,23.764315659384284
160,mean_dateactivated_425D,23.378877057780773
164,sum_downpmt_134A,23.274937560787034
521,lastcancelreason_561M_P73_130_169,23.259588735089856
1148,max_financialinstitution_591M_e9bfdb5c,23.227426379027325
491,lastcancelreason_561M_P198_89_166,23.108157627730947
712,max_empl_industry_691L_AGRICULTURE,22.518644580220826
1188,min_purposeofcred_874M_27b6de28,22.223805205449867
360,mean_totaldebtoverduevalue_178A,22.149179530673504
315,mean_numberofinstls_320L,22.041816388048552
506,lastcancelreason_561M_P32_86_86,22.016012274413587
548,lastrejectreason_759M_P64_121_167,21.979346269823335
679,max_status_219L_T,21.93803440907002
316,max_numberofinstls_320L,21.741639385439463
635,max_isdebitcard_527L_True,21.652390507000568
634,max_isdebitcard_527L_False,20.443901414223863
966,max_contractst_964M_d7416962,20.148524321830713
303,mean_nominalrate_281L,18.541454322077403
24,dtlastpmtallstes_4499206D,18.494056429869275
629,max_isbidproduct_390L_True,18.153789328161793
298,max_lastupdate_388D,17.90526876962225
1051,max_financialinstitution_382M_cc8de998,17.88285428549518
105,responsedate_4917613D,17.853924985445897
632,min_isdebitcard_527L_True,17.695242649761994
146,sum_credacc_minhisbal_90A,17.537189637884335
792,max_safeguarantyflag_411L_False,17.45133966294088
121,max_byoccupationinc_3656910L,17.394546141161918
147,min_credacc_transactions_402L,17.006205049956606
289,min_instlamount_768A,16.99222109011317
717,max_empl_industry_691L_EDUCATION,16.943356156987587
29,inittransactionamount_650A,16.8619766272086
361,max_totaldebtoverduevalue_178A,16.048631156613045
631,min_isdebitcard_527L_False,15.82857468859148
452,lastapprcommoditycat_1041M_P53_45_92,15.72479566673794
12,clientscnt6m_3712949L,15.703425340114748
149,mean_credacc_transactions_402L,15.501099292944943
1161,max_financialinstitution_591M_fd828f59,15.418639944871384
919,max_contractst_964M_a4027f4c,15.355355567654643
140,max_credacc_maxhisbal_375A,15.318993209944505
314,min_numberofinstls_320L,15.281097721969417
357,mean_totalamount_996A,15.277402156807064
90,validfrom_1069D,14.86147065968747
260,count_num_group1_cb_a_1,14.791918688873277
669,max_status_219L_A,14.790647534220673
351,mean_residualamount_856A,14.786852208613926
282,mean_debtoverdue_47A,14.679473034402637
283,max_debtoverdue_47A,14.679473034402637
281,min_debtoverdue_47A,14.679473034402637
284,sum_debtoverdue_47A,14.679473034402637
769,max_relationshiptoclient_415T_OTHER,14.37970610980727
780,max_relationshiptoclient_642T_OTHER,14.37970610980727
721,max_empl_industry_691L_HEALTH,14.163861979546649
649,max_rejectreason_755M_P198_131_9,14.124729360148
276,max_dateofrealrepmt_138D,13.873165786298301
493,lastcancelreason_561M_P19_105_83,13.676108589449578
354,mean_totalamount_6A,12.849222297987637
483,lastcancelreason_561M_P180_60_137,12.769865452959149
386,min_pmts_overdue_1152A,12.72592872510866
956,max_contractst_964M_ca72db6c,12.569543825227296
53,maxinstallast24m_3658928A,12.37098582802142
273,max_dateofcredstart_739D,12.327063373734124
356,min_totalamount_996A,12.202820331213402
151,min_credamount_590A,12.189600577378433
654,max_rejectreason_755M_P5_143_178,12.169223201466275
136,max_credacc_credlmt_575A,12.167299873561129
1074,max_financialinstitution_382M_e2a39b1a,12.074293802515411
602,max_credacc_status_367L_PCL,11.760931465631053
416,lastapprcommoditycat_1041M_P105_126_172,11.71196255290295
290,mean_instlamount_768A,11.653893839455115
687,max_conts_type_509L_WHATSAPP,11.398862126980696
