,Feature,Score
809,max_empls_economicalst_849M_a55475b1,33.58193466858017
2,annuity_780A,33.04612448057541
678,max_status_219L_S,33.01854865805712
516,lastcancelreason_561M_P64_121_167,32.75183166702056
749,max_housetype_905L_nan,31.769916046200866
13,cntincpaycont9m_3716944L,31.623054718409957
504,lastcancelreason_561M_P30_86_84,31.083860483030374
994,max_contractst_964M_fb43439d,30.584168735418306
167,mean_dtlastpmt_581D,30.52956665752123
285,min_dpdmax_139P,30.315902216050233
266,min_dateofcredend_353D,29.638983986691308
100,pmtaverage_3A,29.581654536461343
582,twobodfilling_608L_BO,29.53340353773604
389,min_pmts_year_1139T,29.49926018829259
583,twobodfilling_608L_FO,29.139007832106156
223,max_persontype_792L,29.138515074319827
218,max_persontype_1072L,29.138515074319827
395,count_num_group1_cb_a_2,28.32124034475307
396,count_num_group2_cb_a_2,28.32124034475307
113,min_annuity_853A,28.274895698889758
757,max_incometype_1044T_SALARIED_GOVT,28.22526307011553
70,numinstpaidlastcontr_4325080L,28.172404338965062
163,mean_downpmt_134A,27.45938984036089
1003,max_description_351M_f8e51f8d,26.763418481526497
1235,max_subjectroles_name_838M_a55475b1,26.623351449647064
10,avgoutstandbalancel6m_4187114A,26.58055915288971
116,sum_annuity_853A,26.138265503368334
269,min_dateofcredstart_181D,25.923359563911394
570,lastst_736L_A,25.843235779143956
1111,max_financialinstitution_591M_a55475b1,25.723671700694414
738,max_familystate_447L_LIVING_WITH_PARTNER,25.49185721636445
248,sum_amount_4917619A,25.348331553962314
575,lastst_736L_N,25.122814301301318
776,max_relationshiptoclient_642T_COLLEAGUE,23.348620745732607
765,max_relationshiptoclient_415T_COLLEAGUE,23.348620745732607
143,min_credacc_minhisbal_90A,22.706303497336318
244,count_num_group1_tax_registry_b,22.64306483346595
871,max_classificationofcontr_400M_f0a30139,22.591159986136862
40,maxannuity_159A,22.552628929086225
374,min_pmts_dpd_303P,22.206153017197835
257,mean_processingdate_168D,21.999631795543678
145,mean_credacc_minhisbal_90A,21.66840362001566
8,avglnamtstart24m_4525187A,21.42235800588725
39,maininc_215A,21.378300755311468
28,homephncnt_628L,21.322557767448544
178,sum_isbidproduct_390L,20.79539909914405
18,datefirstoffer_1144D,20.77933137136296
472,lastcancelreason_561M_P129_162_80,20.29942595566419
502,lastcancelreason_561M_P24_27_36,20.017791609242817
555,lastrejectreasonclient_4145040M_P129_162_80,19.83288442619627
