,feature,split,gain
2,contractssum_5085716L,1027.4,29107.185165243784
176,min_employedfrom_700D,1540.2,29294.952613267513
119,totalsettled_863A,1232.2,30374.75955659747
51,isbidproduct_1095L,575.0,30672.923069015145
68,maxdbddpdtollast6m_4187119P,787.8,30913.55615546219
22,applicationscnt_867L,1114.2,31735.02022893131
109,pctinstlsallpaidlat10d_839L,835.6,31885.183764320613
49,inittransactionamount_650A,1403.6,31937.311326250434
212,max_relationshiptoclient_642T,711.4,32248.968754005433
66,maxdbddpdlast1m_3658939P,1361.2,33026.507433596256
108,pctinstlsallpaidearl3d_427L,1198.8,33301.556135264036
39,datelastunpaid_3546854D,1362.6,33791.50584813058
13,pmtaverage_3A,1202.2,34010.82054324448
211,max_relationshiptoclient_415T,748.0,34260.196320486066
6,days360_512L,1571.4,34344.296039178225
103,numinsttopaygr_769L,901.2,34572.54722210439
105,numinstunpaidmax_3546851L,817.6,34741.07943091988
12,numberofqueries_373L,1511.8,35145.306086036006
77,maxdpdlast9m_1059P,512.4,35855.42723484337
182,min_familystate_726L,654.6,36516.5370783329
86,monthsannuity_845L,926.2,36606.041436362175
15,pmtscount_423L,663.8,37570.719458162785
92,numinstlswithoutdpd_562L,742.0,38289.85884155743
223,min_relationshiptoclient_415T,818.6,39667.37489748001
71,maxdpdinstldate_3546855D,1822.6,39954.240162088165
88,numinstlallpaidearly3d_817L,694.0,40478.9361712886
148,mean_currdebt_94A,894.8,40990.22736012675
224,min_relationshiptoclient_642T,816.2,41300.467464160916
8,education_1103M,669.6,41609.01737504006
188,mean_amount_4527230A,1747.6,44416.13896854967
87,numincomingpmts_3546848L,1358.4,45199.98067655899
38,datelastinstal40dpd_247D,1392.0,46573.01207300278
187,max_num_group1_3,1099.0,48330.75420270711
90,numinstlswithdpd10_728L,1211.4,48730.04133804441
189,mean_num_group1_3,1080.2,49028.497939983754
163,mean_tenor_203L,1524.8,49778.00450516306
162,mean_pmtnum_8L,1572.4,49880.640838966145
152,mean_outstandingdebt_522A,1027.0,50426.49271440059
45,eir_270L,1639.8,55263.93931524046
5,days30_165L,979.6,56200.25135467574
158,mean_employedfrom_700D,1700.8,56610.36410773918
58,lastdelinqdate_224D,1941.2,56953.88160576201
50,interestrate_311L,1699.0,58357.309530599414
136,max_firstnonzeroinstldate_307D,1416.8,58816.349503653706
95,numinstpaidearly3d_3546850L,708.0,59180.37609097138
33,cntpmts24_3658933L,1405.2,59268.85077041108
34,credamount_770A,1965.2,59409.68098184131
112,pctinstlsallpaidlate6d_3546844L,725.6,60306.00726056322
17,responsedate_4527233D,807.2,60649.273922264576
89,numinstlsallpaid_934L,754.8,61255.04652796276
63,lastst_736L,474.6,62109.12849473953
128,max_maxdpdtolerance_577P,802.0,63424.89490934908
215,mean_empl_employedfrom_271D,928.0,64530.23724250942
186,max_amount_4527230A,1782.4,65327.81575441919
135,max_employedfrom_700D,1938.2,66749.89602524563
206,max_empl_employedfrom_271D,978.0,66862.45937069916
107,numrejects9m_859L,498.6,68206.61331784725
217,min_empl_employedfrom_271D,906.4,68220.46898971051
41,disbursedcredamount_1113A,1877.6,69732.66604264415
73,maxdpdlast12m_727P,520.2,72395.82378297448
225,min_sex_738L,616.4,72716.40972899199
179,min_education_1138M,627.4,73082.89496145249
121,validfrom_1069D,1489.2,74941.22051295154
21,annuity_780A,3367.6,75033.58587684688
4,days180_256L,1298.2,76006.83113345652
46,firstclxcampaign_1125D,1458.8,81610.88510507178
62,lastrejectreason_759M,610.0,81968.97509198189
23,avgdbddpdlast24m_3658932P,1055.6,82850.54546610863
213,max_sex_738L,742.6,85798.17476153374
16,pmtssum_45A,1619.4,86783.28767507077
111,pctinstlsallpaidlate4d_3546849L,803.2,87264.03451597066
222,min_incometype_1044T,943.0,88340.11126308441
210,max_incometype_1044T,947.6,91235.51567831039
7,days90_310L,1250.8,91978.35295700282
3,days120_123L,1169.4,94084.10637533292
178,min_cancelreason_3545846M,3817.4,97435.78208813668
74,maxdpdlast24m_143P,785.4,98556.37834734395
218,min_education_927M,635.6,100117.99560928345
57,lastcancelreason_561M,1567.8,104143.19618954658
67,maxdbddpdtollast12m_3658940P,1252.0,110505.67673383579
180,min_rejectreason_755M,751.2,114229.07375497818
61,lastrejectdate_50D,2056.2,148171.64180189167
110,pctinstlsallpaidlate1d_3546856L,1525.6,166413.850641989
113,pmtnum_254L,2715.6,168702.18183817863
85,mobilephncnt_593L,1717.8,184403.79669045508
114,price_1097A,3855.2,215334.3063168645
205,max_birth_259D,3935.0,224525.74215254205
151,mean_maxdpdtolerance_577P,1328.6,296438.97988912463
26,avgdpdtolclosure24_3658938P,994.8,389001.8609031856
